SampleID	groupID	group
MG_640	MG_640	MG_640
MG_646	MG_646	MG_646
MG_651	MG_651	MG_651
MG_660	MG_660	MG_660
MG_675	MG_675	MG_675
MG_690	MG_690	MG_690
MG_704	MG_704	MG_704
MG_721	MG_721	MG_721
MG_732	MG_732	MG_732
MG_750	MG_750	MG_750
MG_760	MG_760	MG_760
MG_763	MG_763	MG_763
MG_770	MG_770	MG_770
MG_779	MG_779	MG_779
MG_793	MG_793	MG_793
MG_806	MG_806	MG_806
MG_810	MG_810	MG_810
MG_812	MG_812	MG_812
MG_813	MG_813	MG_813
MG_822	MG_822	MG_822
MG_833	MG_833	MG_833
MG_835	MG_835	MG_835
MG_855	MG_855	MG_855
MG_878	MG_878	MG_878
MG_885	MG_885	MG_885
MG_891	MG_891	MG_891
MG_896	MG_896	MG_896
MG_909	MG_909	MG_909
MG_911	MG_911	MG_911
MG_917	MG_917	MG_917
MG_923	MG_923	MG_923
MG_925	MG_925	MG_925
MG_927	MG_927	MG_927
MG_928	MG_928	MG_928
MG_946	MG_946	MG_946
MG_952	MG_952	MG_952
MG_959	MG_959	MG_959
MG_977	MG_977	MG_977
MG_991	MG_991	MG_991
MG_992	MG_992	MG_992
MG_994	MG_994	MG_994
MG_996	MG_996	MG_996
MG_1000	MG_1000	MG_1000
MG_1021	MG_1021	MG_1021
MG_1059	MG_1059	MG_1059
MG_1061	MG_1061	MG_1061
MG_1093	MG_1093	MG_1093
MG_1097	MG_1097	MG_1097
MG_1166	MG_1166	MG_1166
MG_1193	MG_1193	MG_1193
MG_1195	MG_1195	MG_1195
MG_1205	MG_1205	MG_1205
MG_1214	MG_1214	MG_1214
MG_1236	MG_1236	MG_1236
MG_1242	MG_1242	MG_1242
MG_1246	MG_1246	MG_1246
MG_1256	MG_1256	MG_1256
MG_1274	MG_1274	MG_1274
MG_1290	MG_1290	MG_1290
MG_1297	MG_1297	MG_1297
MG_1300	MG_1300	MG_1300
MG_1303	MG_1303	MG_1303
MG_1315	MG_1315	MG_1315
MG_50	MG_50	MG_50
MG_230	MG_230	MG_230
MG_63	MG_63	MG_63
MG_53	MG_53	MG_53
MG_369	MG_369	MG_369
MG_49	MG_49	MG_49
MG_51	MG_51	MG_51
MG_54	MG_54	MG_54
MG_55	MG_55	MG_55
MG_57	MG_57	MG_57
MG_58	MG_58	MG_58
MG_59	MG_59	MG_59
MG_60	MG_60	MG_60
MG_61	MG_61	MG_61
MG_62	MG_62	MG_62
MG_64	MG_64	MG_64
MG_66	MG_66	MG_66
MG_69	MG_69	MG_69
MG_71	MG_71	MG_71
MG_72	MG_72	MG_72
MG_73	MG_73	MG_73
MG_74	MG_74	MG_74
MG_75	MG_75	MG_75
MG_76	MG_76	MG_76
MG_79	MG_79	MG_79
MG_81	MG_81	MG_81
MG_83	MG_83	MG_83
MG_84	MG_84	MG_84
MG_85	MG_85	MG_85
MG_86	MG_86	MG_86
MG_87	MG_87	MG_87
MG_88	MG_88	MG_88
MG_89	MG_89	MG_89
MG_91	MG_91	MG_91
MG_92	MG_92	MG_92
MG_93	MG_93	MG_93
MG_94	MG_94	MG_94
MG_95	MG_95	MG_95
MG_97	MG_97	MG_97
MG_98	MG_98	MG_98
MG_99	MG_99	MG_99
MG_100	MG_100	MG_100
MG_101	MG_101	MG_101
MG_102	MG_102	MG_102
MG_103	MG_103	MG_103
MG_104	MG_104	MG_104
MG_105	MG_105	MG_105
MG_106	MG_106	MG_106
MG_108	MG_108	MG_108
MG_109	MG_109	MG_109
MG_110	MG_110	MG_110
MG_111	MG_111	MG_111
MG_112	MG_112	MG_112
MG_114	MG_114	MG_114
MG_116	MG_116	MG_116
MG_117	MG_117	MG_117
MG_121	MG_121	MG_121
MG_122	MG_122	MG_122
MG_123	MG_123	MG_123
MG_124	MG_124	MG_124
MG_125	MG_125	MG_125
MG_126	MG_126	MG_126
MG_130	MG_130	MG_130
MG_131	MG_131	MG_131
MG_133	MG_133	MG_133
MG_135	MG_135	MG_135
MG_137	MG_137	MG_137
MG_138	MG_138	MG_138
MG_139	MG_139	MG_139
MG_140	MG_140	MG_140
MG_141	MG_141	MG_141
MG_142	MG_142	MG_142
MG_143	MG_143	MG_143
MG_144	MG_144	MG_144
MG_145	MG_145	MG_145
MG_150	MG_150	MG_150
MG_152	MG_152	MG_152
MG_153	MG_153	MG_153
MG_155	MG_155	MG_155
MG_157	MG_157	MG_157
MG_158	MG_158	MG_158
MG_159	MG_159	MG_159
MG_160	MG_160	MG_160
MG_164	MG_164	MG_164
MG_165	MG_165	MG_165
MG_166	MG_166	MG_166
MG_167	MG_167	MG_167
MG_169	MG_169	MG_169
MG_170	MG_170	MG_170
MG_171	MG_171	MG_171
MG_172	MG_172	MG_172
MG_173	MG_173	MG_173
MG_174	MG_174	MG_174
MG_175	MG_175	MG_175
MG_176	MG_176	MG_176
MG_177	MG_177	MG_177
MG_178	MG_178	MG_178
MG_179	MG_179	MG_179
MG_180	MG_180	MG_180
MG_181	MG_181	MG_181
MG_182	MG_182	MG_182
MG_185	MG_185	MG_185
MG_186	MG_186	MG_186
MG_187	MG_187	MG_187
MG_188	MG_188	MG_188
MG_189	MG_189	MG_189
MG_190	MG_190	MG_190
MG_191	MG_191	MG_191
MG_192	MG_192	MG_192
MG_193	MG_193	MG_193
MG_195	MG_195	MG_195
MG_196	MG_196	MG_196
MG_197	MG_197	MG_197
MG_200	MG_200	MG_200
MG_201	MG_201	MG_201
MG_203	MG_203	MG_203
MG_205	MG_205	MG_205
MG_206	MG_206	MG_206
MG_207	MG_207	MG_207
MG_208	MG_208	MG_208
MG_209	MG_209	MG_209
MG_210	MG_210	MG_210
MG_211	MG_211	MG_211
MG_214	MG_214	MG_214
MG_215	MG_215	MG_215
MG_216	MG_216	MG_216
MG_217	MG_217	MG_217
MG_221	MG_221	MG_221
MG_222	MG_222	MG_222
MG_224	MG_224	MG_224
MG_225	MG_225	MG_225
MG_226	MG_226	MG_226
MG_227	MG_227	MG_227
MG_228	MG_228	MG_228
MG_229	MG_229	MG_229
MG_231	MG_231	MG_231
MG_232	MG_232	MG_232
MG_234	MG_234	MG_234
MG_235	MG_235	MG_235
MG_236	MG_236	MG_236
MG_237	MG_237	MG_237
MG_238	MG_238	MG_238
MG_241	MG_241	MG_241
MG_242	MG_242	MG_242
MG_243	MG_243	MG_243
MG_244	MG_244	MG_244
MG_245	MG_245	MG_245
MG_246	MG_246	MG_246
MG_247	MG_247	MG_247
MG_248	MG_248	MG_248
MG_249	MG_249	MG_249
MG_250	MG_250	MG_250
MG_252	MG_252	MG_252
MG_253	MG_253	MG_253
MG_254	MG_254	MG_254
MG_256	MG_256	MG_256
MG_259	MG_259	MG_259
MG_261	MG_261	MG_261
MG_262	MG_262	MG_262
MG_263	MG_263	MG_263
MG_265	MG_265	MG_265
MG_266	MG_266	MG_266
MG_267	MG_267	MG_267
MG_268	MG_268	MG_268
MG_269	MG_269	MG_269
MG_271	MG_271	MG_271
MG_272	MG_272	MG_272
MG_273	MG_273	MG_273
MG_275	MG_275	MG_275
MG_276	MG_276	MG_276
MG_278	MG_278	MG_278
MG_280	MG_280	MG_280
MG_281	MG_281	MG_281
MG_282	MG_282	MG_282
MG_284	MG_284	MG_284
MG_285	MG_285	MG_285
MG_286	MG_286	MG_286
MG_287	MG_287	MG_287
MG_289	MG_289	MG_289
MG_290	MG_290	MG_290
MG_291	MG_291	MG_291
MG_292	MG_292	MG_292
MG_296	MG_296	MG_296
MG_297	MG_297	MG_297
MG_299	MG_299	MG_299
MG_300	MG_300	MG_300
MG_301	MG_301	MG_301
MG_302	MG_302	MG_302
MG_303	MG_303	MG_303
MG_304	MG_304	MG_304
MG_306	MG_306	MG_306
MG_308	MG_308	MG_308
MG_309	MG_309	MG_309
MG_310	MG_310	MG_310
MG_311	MG_311	MG_311
MG_312	MG_312	MG_312
MG_313	MG_313	MG_313
MG_314	MG_314	MG_314
MG_315	MG_315	MG_315
MG_317	MG_317	MG_317
MG_318	MG_318	MG_318
MG_319	MG_319	MG_319
MG_320	MG_320	MG_320
MG_321	MG_321	MG_321
MG_322	MG_322	MG_322
MG_323	MG_323	MG_323
MG_325	MG_325	MG_325
MG_326	MG_326	MG_326
MG_327	MG_327	MG_327
MG_328	MG_328	MG_328
MG_329	MG_329	MG_329
MG_332	MG_332	MG_332
MG_333	MG_333	MG_333
MG_334	MG_334	MG_334
MG_335	MG_335	MG_335
MG_336	MG_336	MG_336
MG_337	MG_337	MG_337
MG_339	MG_339	MG_339
MG_341	MG_341	MG_341
MG_343	MG_343	MG_343
MG_344	MG_344	MG_344
MG_345	MG_345	MG_345
MG_346	MG_346	MG_346
MG_347	MG_347	MG_347
MG_348	MG_348	MG_348
MG_349	MG_349	MG_349
MG_350	MG_350	MG_350
MG_351	MG_351	MG_351
MG_352	MG_352	MG_352
MG_354	MG_354	MG_354
MG_355	MG_355	MG_355
MG_357	MG_357	MG_357
MG_358	MG_358	MG_358
MG_359	MG_359	MG_359
MG_360	MG_360	MG_360
MG_361	MG_361	MG_361
MG_364	MG_364	MG_364
MG_367	MG_367	MG_367
MG_368	MG_368	MG_368
MG_370	MG_370	MG_370
MG_374	MG_374	MG_374
MG_375	MG_375	MG_375
MG_376	MG_376	MG_376
MG_377	MG_377	MG_377
MG_378	MG_378	MG_378
MG_379	MG_379	MG_379
MG_380	MG_380	MG_380
MG_383	MG_383	MG_383
MG_384	MG_384	MG_384
MG_385	MG_385	MG_385
MG_389	MG_389	MG_389
MG_390	MG_390	MG_390
MG_391	MG_391	MG_391
MG_392	MG_392	MG_392
MG_393	MG_393	MG_393
MG_394	MG_394	MG_394
MG_395	MG_395	MG_395
MG_396	MG_396	MG_396
MG_397	MG_397	MG_397
MG_398	MG_398	MG_398
MG_399	MG_399	MG_399
MG_402	MG_402	MG_402
MG_404	MG_404	MG_404
MG_405	MG_405	MG_405
MG_406	MG_406	MG_406
MG_408	MG_408	MG_408
MG_414	MG_414	MG_414
MG_415	MG_415	MG_415
MG_417	MG_417	MG_417
MG_418	MG_418	MG_418
MG_419	MG_419	MG_419
MG_420	MG_420	MG_420
MG_421	MG_421	MG_421
MG_422	MG_422	MG_422
MG_423	MG_423	MG_423
MG_424	MG_424	MG_424
MG_425	MG_425	MG_425
MG_426	MG_426	MG_426
MG_427	MG_427	MG_427
MG_430	MG_430	MG_430
MG_431	MG_431	MG_431
MG_432	MG_432	MG_432
MG_434	MG_434	MG_434
MG_435	MG_435	MG_435
MG_436	MG_436	MG_436
MG_440	MG_440	MG_440
MG_441	MG_441	MG_441
MG_442	MG_442	MG_442
MG_444	MG_444	MG_444
MG_445	MG_445	MG_445
MG_446	MG_446	MG_446
MG_448	MG_448	MG_448
MG_449	MG_449	MG_449
MG_450	MG_450	MG_450
MG_452	MG_452	MG_452
MG_453	MG_453	MG_453
MG_454	MG_454	MG_454
MG_456	MG_456	MG_456
MG_459	MG_459	MG_459
MG_460	MG_460	MG_460
MG_461	MG_461	MG_461
MG_462	MG_462	MG_462
MG_464	MG_464	MG_464
MG_465	MG_465	MG_465
MG_466	MG_466	MG_466
MG_467	MG_467	MG_467
MG_468	MG_468	MG_468
MG_469	MG_469	MG_469
MG_470	MG_470	MG_470
MG_471	MG_471	MG_471
MG_472	MG_472	MG_472
MG_473	MG_473	MG_473
MG_474	MG_474	MG_474
MG_476	MG_476	MG_476
MG_478	MG_478	MG_478
MG_479	MG_479	MG_479
MG_481	MG_481	MG_481
MG_482	MG_482	MG_482
MG_483	MG_483	MG_483
MG_484	MG_484	MG_484
MG_485	MG_485	MG_485
MG_487	MG_487	MG_487
MG_489	MG_489	MG_489
MG_490	MG_490	MG_490
MG_491	MG_491	MG_491
MG_492	MG_492	MG_492
MG_493	MG_493	MG_493
MG_494	MG_494	MG_494
MG_495	MG_495	MG_495
MG_496	MG_496	MG_496
MG_497	MG_497	MG_497
MG_498	MG_498	MG_498
MG_499	MG_499	MG_499
MG_500	MG_500	MG_500
MG_501	MG_501	MG_501
MG_502	MG_502	MG_502
MG_503	MG_503	MG_503
MG_504	MG_504	MG_504
MG_505	MG_505	MG_505
MG_507	MG_507	MG_507
MG_509	MG_509	MG_509
MG_512	MG_512	MG_512
MG_513	MG_513	MG_513
MG_514	MG_514	MG_514
