SampleID	height	tiller	wetWeight
T4171Hd	94	60	209.12
T4171He	93	30	125.11
T4171Hf	100	33	157.44
T4173Ha	103	33	184.83
T4173Hb	104	25	146.96
T4173Hc	104	34	183.96
T4173Hd	110	22	124.21
T4173He	106	29	157.87
T4173Hf	103	32	186.07
T4175Ha	102	35	176.36
T4175Hb	104	18	98.15
T4175Hc	105	37	202.32
T4175Hd	106	37	202.64
T4175He	102	15	72.6
T4175Hf	102	28	169.86
G4061Ha	58	26	84.38
G4061Hb	62	28	89.48
G4067Ha	92	42	195.94
G4067Hb	104	42	197.33
G4067Hc	100	65	247.63
G4067Hd	95	46	202.2
G4067He	88	26	113.36
G4067Hf	96	38	202.63
T4176Ha	97	40	314.77
T4176Hb	111	31	242.25
T4176Hc	104	29	245.31
T4176Hd	96	27	183.49
T4176He	97	35	231.91
T4176Hf	111	34	268.25
T4177Ha	95	22	164.67
T4177Hb	102	14	122.25
T4177Hc	104	24	199.12
T4177Hd	101	20	171.97
T4177He	100	22	171.35
T4177Hf	95	22	180.59
T4178Ha	102	45	256.29
T4178Hb	110	40	266.14
T4178Hc	112	54	328.25
T4178Hd	110	46	249.83
T4178He	109	31	163.68
T4178Hf	110	23	133.76
T4179Ha	84	24	110.16
T4179Hb	85	23	97.07
T4179Hc	89	25	129.25
T4179Hd	91	28	146.51
T4179He	78	14	52.471
T4179Hf	84	27	118.18
W4195Ha	94	31	152.05
W4195Hb	96	23	139.82
W4195Hc	93	27	138.45
W4195Hd	100	26	129.72
W4195He	91	32	170.78
W4195Hf	96	31	154.43
W4196Ha	80	24	127.31
W4196Hb	94	23	157.07
W4196Hc	92	21	130.6
W4196Hd	79	13	61.88
W4196He	93	46	264.4
W4196Hf	98	21	129.38
W4197Ha	99	17	128.13
W4197Hb	100	18	136.72
W4197Hc	94	16	105.15
W4197Hd	99	19	143.77
W4197He	97	18	118.59
W4197Hf	105	18	133.03
W4198Ha	74	18	80.3
W4198Hb	78	22	84.33
W4198Hc	80	22	99.36
W4198Hd	79	16	69.13
W4198He	71	21	68.18
W4198Hf	79	16	57.56
W4199Ha	81	26	110.13
W4199Hb	88	19	91.3
W4199Hc	87	29	131.64
W4199Hd	86	28	157.46
W4199He	90	23	129.32
W4199Hf	89	23	120.01
X4204Ha	85	48	216.18
X4204Hb	86	43	228.51
X4204Hc	87	41	195.43
X4204Hd	91	46	216.14
X4204He	83	54	218.05
X4204Hf	85	28	136.35
Y4211Ha	113	16	152.8
Y4211Hb	112	17	165.56
Y4211Hc	102	10	96.39
Y4211Hd	100	11	105.65
Y4211He	105	20	167.07
Y4211Hf	102	16	178.54
A4001Ha	120	41	317.13
A4001Hb	99	26	145.54
A4001Hc	90	33	165.47
